Author Name,Tweet,Friends,CreatedAt,Id,Favorite Count,Retweet Count,Company,Source
Joe Best,RT @WallStJesus: BULL LAYS HEFTY WOOD IN $GOOGL CALLS | U,0,3/8/18 2:17,9.71571E+17,0,11,GOOGLE,Twitter
Feldberg Mrkt Trends,RT @WallStJesus: BULL LAYS HEFTY WOOD IN $GOOGL CALLS | U,5012,3/8/18 2:17,9.71571E+17,0,11,GOOGLE,Twitter
tomahawk,RT @WeeklyOptTrader: $GOOGL 1120 riding from 2.55.. Still half position from yesterday 11.02 am EST 8,292,3/8/18 2:11,9.71569E+17,0,2,GOOGLE,Twitter
OptionsGod,$GOOGL 1120 riding from 2.55.. Still half position from yesterday 11.02 am EST 8,35,3/8/18 2:10,9.71569E+17,8,2,GOOGLE,Twitter
wealththrupennies,tariffs aside.... this market is ready to zoom higher. Many charts setting up or breaking out to new highs. $SQ $INTC $GOOGL $AMZN $BABA,296,3/8/18 2:10,9.71569E+17,1,0,GOOGLE,Twitter
Scott Smith,Setups liked that we'll be watching Thurs. $FSLR $FEYE $NTNX $QD $W $FAS $DAX $BLOK $BLUE $LABU $PI $GOOGL $AMZN $NOC $SHOP $TDD $QQQ $IWM,24,3/8/18 2:07,9.71568E+17,2,0,GOOGLE,Twitter
Mark Hill,RT @WallStJesus: BULL LAYS HEFTY WOOD IN $GOOGL CALLS | U,5136,3/8/18 2:07,9.71568E+17,0,11,GOOGLE,Twitter
Don Juan de Morocco,RT @WallStJesus: BULL LAYS HEFTY WOOD IN $GOOGL CALLS | U,289,3/8/18 2:05,9.71568E+17,0,11,GOOGLE,Twitter
Paul Johnson,"A few of this week's watch list winners with their moves above my buy points: Baozun $BZUN + 10%, Micron Technologyâ€¦",26281,3/8/18 1:59,9.71566E+17,3,1,GOOGLE,Twitter
365Investing,RT @WallStJesus: BULL LAYS HEFTY WOOD IN $GOOGL CALLS | U,1416,3/8/18 1:43,9.71562E+17,0,11,GOOGLE,Twitter
Parabolicplease,RT @WallStJesus: BULL LAYS HEFTY WOOD IN $GOOGL CALLS | U,53,3/8/18 1:43,9.71562E+17,0,11,GOOGLE,Twitter
real aloy,"@reckless Not just Facebook.... more to come.... Apple, Google, Sony, Samsung, Intel, Qualcomm, Samsung..... $BBâ€¦",128,3/8/18 1:37,9.71561E+17,1,1,GOOGLE,Twitter
ProTradersNews,$GOOG $GOOGL $VZ: 4 Stocks You Can Buy and Hold Forever:,5,3/8/18 1:33,9.71559E+17,0,0,GOOGLE,Twitter
Tommy Bland,DS2Youtube: C U in Federal Court! Coping Successfully With YouTube Ban! #Censorshipâ€¦,4995,3/8/18 1:28,9.71558E+17,0,0,GOOGLE,Twitter
PositionUpdates,RT @WallStJesus: BULL LAYS HEFTY WOOD IN $GOOGL CALLS | U,161,3/8/18 1:24,9.71557E+17,0,11,GOOGLE,Twitter
